date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,precipitation_sum,WeatherSimple
2022-02-06,14.753152,28.029947,21.005623,18.21549999999999,32.72050000000002,23.20304999999998,0.0,0
2022-02-07,14.78852,28.018473,20.749233,19.371999999999968,38.41199999999999,23.81289999999998,0.0,0
2022-02-08,14.78852,28.018473,20.749233,19.51799999999997,38.829499999999946,23.85849999999999,0.0,0
2022-02-09,14.356249,27.943205,20.630909,18.640499999999953,38.054,24.16019999999999,0.0,0
2022-02-10,14.0883465,28.110657,20.616676,16.773999999999972,34.80099999999998,24.364399999999996,0.0,0
2022-02-11,14.0883465,28.110657,20.616676,16.706499999999977,32.65349999999998,24.456299999999985,0.0,0
2022-02-12,13.956852,28.64986,20.658787,16.92549999999998,31.57950000000005,24.977399999999992,0.039,0
2022-02-13,14.146413,29.018536,20.943615,16.094499999999996,29.80500000000002,24.96335000000001,0.0015,0
2022-02-14,14.146413,29.018536,20.943615,16.092499999999998,29.51000000000001,24.96135000000001,0.0015,0
2022-02-15,16.176321,29.461714,21.982777,17.050999999999988,31.615500000000015,23.735800000000005,0.006,0
2022-02-16,16.514153,29.461714,21.982777,17.716000000000005,32.91200000000004,23.15549999999999,0.026000000000000002,0
2022-02-17,16.573603,29.253456,21.839874,17.83650000000001,32.84800000000004,23.010099999999987,0.0725,0
2022-02-18,16.573603,29.253456,21.839874,17.922000000000022,32.79600000000004,23.02699999999999,0.19749999999999993,0
2022-02-19,16.573603,28.706833,21.59403,17.146500000000014,32.72000000000001,22.665649999999978,0.6385000000000004,0
2022-02-20,16.573603,25.812256,21.062563,17.787000000000017,35.049999999999926,16.173649999999995,4.5485,1
2022-02-21,16.573603,25.812256,21.062563,17.876000000000005,35.12999999999995,16.173649999999995,4.531499999999999,1
2022-02-22,16.589743,27.887892,21.46455,16.88299999999999,33.12599999999996,21.979099999999995,0.33500000000000013,0
2022-02-23,16.516342,29.587101,22.588894,17.342500000000012,32.6425,23.763600000000007,0.05549999999999999,0
2022-02-24,16.516342,29.587101,22.588894,17.194500000000012,31.686500000000024,23.762750000000004,0.01,0
2022-02-25,16.490675,30.888279,23.443514,16.496500000000005,31.85950000000003,24.819900000000047,0.0075,0
2022-02-26,16.735394,31.424505,23.781317,15.327500000000004,31.594500000000036,24.869049999999994,0.0275,0
2022-02-27,16.764153,31.52481,24.009975,15.439500000000004,32.8905,24.898199999999992,0.09899999999999999,0
2022-02-28,16.764153,31.52481,24.009975,16.311000000000007,34.774500000000025,25.432499999999994,0.09899999999999999,0
2022-03-01,16.620056,31.473127,23.976315,16.829500000000014,35.15100000000003,25.679400000000008,0.0085,0
2022-03-02,16.687252,31.473127,24.004194,17.202000000000012,36.251500000000036,25.785600000000002,0.0165,0
2022-03-03,16.687252,31.473127,24.004194,17.59150000000001,36.24850000000005,25.904150000000005,0.0165,0
2022-03-04,16.437191,31.18197,24.032257,17.537500000000012,36.768500000000046,25.888300000000008,0.009000000000000001,0
2022-03-05,16.232397,31.279806,24.180605,16.900500000000026,34.92050000000003,26.009900000000027,0.0,0
2022-03-06,17.129038,31.264114,24.285912,18.96099999999999,35.26150000000005,26.02855000000001,0.0,0
2022-03-07,17.129038,31.264114,24.285912,18.977499999999992,35.207000000000036,26.129550000000005,0.0,0
2022-03-08,17.419388,31.580528,24.424524,18.800000000000015,35.59700000000001,26.125749999999954,0.0,0
